,Name,City,Price,Star_Rating,Property_Demand,Property_id,Customers_Rating,Customers_Review,Type_of_room,reservations_Payment,Canelation,Max_persons,Bed_type,Tax,Review_title,Credit_card,Breakfst_included,Longitude_x,Latitude_y,Link
0,الريـم, Al Ula,SAR 179,5,Only 1 room left like this on our site,6330099,,null,Economy Double Room,No prepayment needed,FREE cancellation,Max persons: 2,"3 beds
(3 large doubles)", +SAR 0 taxes and charges  ,null,Reservation possible without a credit card,null,37.917525,26.648656,https://www.booking.com/hotel/sa/lrym.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=633009902_249116704_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=1&highlighted_blocks=633009902_249116704_2_0_0&hpos=1&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=633009902_249116704_2_0_0__17940&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
1,Copper Crown Furnished Apartments, Khamis Mushayt,SAR 195,5,Only 2 rooms like this left on our site,5326174,9, 169 reviews ,Deluxe Room (2 Adults + 1 Child),No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", includes taxes and charges , Superb ,Reservation possible without a credit card,null,42.8014022886982,18.2427413609442,https://www.booking.com/hotel/sa/kwbr-krwn-llshqq-lfndqyh.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=532617402_191903030_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=2&highlighted_blocks=532617402_191903030_2_0_0&hpos=2&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=532617402_191903030_2_0_0__19499&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
2,فندق راية الشلال 2, Abū Qa‘ar,SAR 200,5,Only 3 rooms like this left on our site,5987844,8.7, 17 reviews ,Deluxe Double or Twin Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 double)", +SAR 0 taxes and charges  , Fabulous ,Reservation possible without a credit card,null,45.990981,28.370666,https://www.booking.com/hotel/sa/fndq-ry-lshll-2.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=598784401_234887103_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=3&highlighted_blocks=598784401_234887103_2_0_0&hpos=3&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=598784401_234887103_2_0_0__20000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
3,Four Points by Sheraton Makkah Al Naseem, Makkah,SAR 225,5,Only 5 rooms like this left on our site,3889445,8.7," 9,418 reviews ",Superior Twin Room,null,FREE cancellation,Max persons: 2,"2 beds
(2 singles)", +SAR 23 taxes and charges  , Fabulous ,null,null,39.874312,21.38081,https://www.booking.com/hotel/sa/four-points-by-sheraton-makkah-al-naseem.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=388944505_251376099_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=4&highlighted_blocks=388944505_251376099_0_2_0&hpos=4&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=388944505_251376099_0_2_0__22500&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
4,نزل الثريا للوحدات السكنية, Taif,SAR 250,5,null,6284346,,null,Budget Double Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 double)", includes taxes and charges ,null,Reservation possible without a credit card,null,40.4873830197907,21.4945239908093,https://www.booking.com/hotel/sa/nzl-lthry-llwhdt-lskny.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=628434602_244840443_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=5&highlighted_blocks=628434602_244840443_2_0_0&hpos=5&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=628434602_244840443_2_0_0__24999&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
5,فندق رفاف المشاعر, Makkah,SAR 295,5,null,1224842,8.4, 719 reviews ,Standard Room King,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 30 taxes and charges  , Very good ,Reservation possible without a credit card,Breakfast included,39.8731560116089,21.4030676544103,https://www.booking.com/hotel/sa/reefaf-al-mashaer-makkah.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=122484213_235715549_2_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=6&highlighted_blocks=122484213_235715549_2_1_0&hpos=6&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=122484213_235715549_2_1_0__29478&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
6,مسكن الراحة, An Nikāshah,SAR 300,5,Only 1 left like this on our site,6367195,,null,Two-Bedroom Apartment,No prepayment needed,FREE cancellation,Max persons: 4,"3 beds
(2 singles, 1 extra-large double)", +SAR 30 taxes and charges  ,null,Reservation possible without a credit card,null,39.82266,21.368414,https://www.booking.com/hotel/sa/mskn-lrh.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=636719502_249718498_4_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=7&highlighted_blocks=636719502_249718498_4_0_0&hpos=7&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=636719502_249718498_4_0_0__30000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
7,Corp Inn Deira., Riyadh,SAR 312,5,null,254592,7, 397 reviews ,Grand Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 large double)", +SAR 47 taxes and charges  , Good ,Reservation possible without a credit card,null,46.7165037989616,24.6343470435907,https://www.booking.com/hotel/sa/corp-city-center.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=25459201_98662375_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=8&highlighted_blocks=25459201_98662375_2_0_0&hpos=8&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=25459201_98662375_2_0_0__31150&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
8,Al Gosaibi Hotel," Al Yarmouk, Al Khobar",SAR 340,5,null,352664,8.1," 2,517 reviews ",Superior Twin Room,null,FREE cancellation,Max persons: 2,"2 beds
(2 singles)", +SAR 35 taxes and charges  , Very good ,null,null,50.2207306,26.3069709,https://www.booking.com/hotel/sa/al-gosaibi.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=35266419_243587419_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=9&highlighted_blocks=35266419_243587419_0_2_0&hpos=9&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=35266419_243587419_0_2_0__34000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
9,Makarem Umm Al Qura Hotel," Ajyad, Makkah",SAR 350,5,null,247347,7.7," 6,398 reviews ",Deluxe Twin Room,null,null,Max persons: 2,"2 beds
(2 singles)", +SAR 36 taxes and charges  , Good ,null,null,39.8304417729378,21.4026930012578,https://www.booking.com/hotel/sa/umm-alqura-makarim.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=24734709_127047022_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=10&highlighted_blocks=24734709_127047022_0_2_0&hpos=10&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=24734709_127047022_0_2_0__35000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
